source,target,weight
"Benefield, Grace","Benefield, Grace",1
"Yoon, Ho Young","Yoon, Ho Young",1
"Thimm, Caja","Thimm, Caja",1
"Park, SangHee","Joa, Claire",1
"Park, SangHee","Park, SangHee",1
"Park, SangHee","Labbe, Brett",1
"Rico, Andrew","Rico, Andrew",1
"Rosaen, Sarah","Rosaen, Sarah",1
"Rosaen, Sarah","Dibble, Jayson",1
"Heling, Leonie","Vorderer, Peter",1
"Heling, Leonie","Heling, Leonie",1
"Heling, Leonie","Reich, Sabine",1
"Yilmaz, Gamze","LeFebvre, Leah",1
"Yilmaz, Gamze","Yilmaz, Gamze",1
"Yilmaz, Gamze","LeFebvre, Luke",1
"Freedman, Des","Freedman, Des",1
"Chen, Xi","Hornik, Robert",1
"Chen, Xi","Albarracin, Dolores",1
"Chen, Xi","Falk, Emily",1
"Chen, Xi","Chen, Xi",1
"Chen, Xi","Liu, Jiaying",1
"Chen, Xi","Zhao, Siman",1
"Somma, Nicolas","Valenzuela, Sebastian",1
"Somma, Nicolas","Somma, Nicolas",1
"Somma, Nicolas","Arriagada, Arturo",1
"Somma, Nicolas","Scherman, Andres",1
"Kim, Guri","Kim, Guri",1
"Kim, Guri","Shin, Dong-Hee",1
"Kim, Guri","Gu, Ji-Hyang",1
"McCallum, Kerry","Waller, Lisa",1
"McCallum, Kerry","McCallum, Kerry",1
"McCallum, Kerry","Dreher, Tanja",1
"Troller-Renfree, Sonya","Bode, Leticia",1
"Troller-Renfree, Sonya","Vraga, Emily",1
"Troller-Renfree, Sonya","Troller-Renfree, Sonya",1
"Cowin, Erica","Matusitz, Jonathan",1
"Cowin, Erica","Cowin, Erica",1
"Huang, Qing","Huang, Qing",1
"Cutter, Gary","Buller, David",1
"Cutter, Gary","Scott, Michael",1
"Cutter, Gary","Walkosz, Barbara",1
"Cutter, Gary","Cutter, Gary",1
"Cutter, Gary","Andersen, Peter",1
"Miltner, Kate","Miltner, Kate",1
"Gameel, Bahaa","Gameel, Bahaa",1
"Kim, Young Mie","Toff, Benjamin",1
"Kim, Young Mie","Kim, Young Mie",1
"Kim, Young Mie","Lassen, David",1
"Cabrera, Maria","Segev, Elad",1
"Cabrera, Maria","Blondheim, Menahem",1
"Cabrera, Maria","Cabrera, Maria",1
"Rossini, Patrcia","Sampaio, Rafael",1
"Rossini, Patrcia","Maia, Rousiley",1
"Rossini, Patrcia","Oliveira, Vanessa",1
"Rossini, Patrcia","Teixeira, Renato",1
"Rossini, Patrcia","Cal, Danila",1
"Rossini, Patrcia","Rossini, Patrcia",1
"Ban, Zhuo","Ban, Zhuo",1
"Ban, Zhuo","Sastry, Shaunak",1
"Xiong, Ying","Xiong, Ying",1
"Uldam, Julie","Krause Hansen, Hans",1
"Uldam, Julie","Uldam, Julie",1
"Humprecht, Edda","Esser, Frank",1
"Humprecht, Edda","Humprecht, Edda",1
"Huang, Gejun","Straubhaar, Joseph",1
"Huang, Gejun","Mora, Adolfo",1
"Huang, Gejun","Li, Xiaoqian",1
"Huang, Gejun","Angeluci, Alan",1
"Huang, Gejun","Huang, Gejun",1
"Keblusek, Lauren","Nabi, Robin",1
"Keblusek, Lauren","Keblusek, Lauren",1
"Elkins, Aaron","Elkins, Aaron",1
"Elkins, Aaron","Lee, Yu-Hao",1
"Elkins, Aaron","Jensen, Matthew",1
