name	freq	Change
U of Toronto	6	U of Toronto
U of Toronto Mississauga	1	U of Toronto
U of Tuebingen	7	U of Tubingen
U of Turku	1	
U of Twente	12	U of Twente
U of Twente / GW / CW	3	U of Twente
U of Utah	11	U of Utah
U of Utara - Malaysia	3	U of Utah
U of Utrecht	2	
U of Vienna	52	
U of Virginia	10	
U of Waikato	5	
U of Warsaw	1	
U of Washington	21	
U of West Florida	3	
U of West Indies	1	
U of Westminster	3	U of Westminster
U of Westminster - Communication and Media Research Institute	1	U of Westminster
U of Wisconsin	3	U of Wisconsin
U of Wisconsin - Madison	9	U of Wisconsin
U of Wisconsin - Parkside	1	U of Wisconsin
U of Wisconsin at Madison	2	U of Wisconsin
U of Wisconsin Madison	1	U of Wisconsin
U of Wisconsin_Madison	2	U of Wisconsin
U of Wisconsin-Eau Claire	2	U of Wisconsin
U of Wisconsin-Madions	1	U of Wisconsin
U of Wisconsin-Madison	95	U of Wisconsin
U of Wisconsin-Madison School of Journalism and Mass Communication	1	U of Wisconsin
U of Wisconsin-Milwaukee	14	U of Wisconsin
U of Wisconsin-Whitewater	2	U of Wisconsin
U of Wollongong	1	
U of Wroclaw	1	
U of Wuerzburg	3	U of Wurzburg
U of Wurzburg	1	
U of Wyoming	6	
U of Zagreb	3	
U of Zurich	31	U of Zurich
U of Zurich - IPMZ	6	U of Zurich
U Ottawa	2	
U Pompeu Fabra	1	
U Putra Malaysia	2	
U Ramon Llull	1	
U Rey Juan Carlos	4	
U.S. Outcomes Research Merk  and  Co. Inc.	1	
UC Santa Barbara	3	
UCLA	1	
UC-Santa Barbara	2	
UIC	2	
UMass Amherst School of Public Health and Health Sciences	1	
UMass Boston	3	
UNC-CH	1	
UNCW	1	
UNESP-Faculdade de Filosofia e Letras	1	
Univ of MO	2	
Univ. of Texas at Austin	2	
Universidad AutÃ³noma de QuerÃ©taro	1	
Universidad del Este	1	
Universidad del Norte	1	
Universidad Diego Portales	2	
Universidade de Sorocaba - SP (Brazil)	1	
Universita' Cattolica del Sacro Cuore	6	
Universita' degli Studi di Sassari	1	
Universita della Svizzera italiana	2	
Universita' della Svizzera Italiana	1	
Universitaet Hohenheim	1	
Universitat Pompeu Fabra/ Institute for Communication Research Indiana U	1	
Universite de Montreal	4	
UNIVERSITE LIBRE DE BRUXELLES	5	
Universiteit Antwerpen	1	U of Antwerp
UNIVERSITY OF MURCIA	1	
unknown	1	
Uppsala U	3	
USC Annenberg	1	USC Annenberg
USC Annenberg School of Communication and Journalism	1	USC Annenberg
USP	1	
UT Austin	1	
Utah State U	7	
Utrecht U	9	Utrecht U
Utrecht U/ Tilburg U	2	Utrecht U
UW Madison	1	
Vanderbilt U	8	
Vassar College	1	
Villanova U	5	
Virginia Commonwealth U	8	
Virginia Tech	2	
VU Amsterdam	1	VU U Amsterdam
VU U	4	VU U Amsterdam
VU U -  Amsterdam	5	VU U Amsterdam
VU U - Amsterdam	3	VU U Amsterdam
VU U Amsterdam	68	VU U Amsterdam
Waikato Tainui College	1	
Wake Forest U	8	
Warsaw U	1	
Washington State U	18	
Waukesha County Technical College	1	
Wayne State U	26	
Weber State U	1	
Webster U	2	
Webster U Geneva	1	
Wellesley College	3	
West Virgina U	1	
West Virginia U	19	
Western Illinois U	1	
Western Kentucky U	2	
Western Michigan U	8	
Western New England U	1	
Western Washington U	2	
Westfaelische Wilhelms-U Muenster	2	
Westfaelische Wilhelms-Universitaet Muenster	6	
Wilfrid Laurier U	1	
Winona State U	1	
WKWSCI Nanyang Techonological U	2	
Wuerzburg U	3	
Wuhan U	4	
Xavier U of Louisiana	1	
Xi'an Jiaotong - Liverpool U	2	
Yale U	4	
Yeungnam U	1	
Yonsei U	14	
Young Harris College	1	
Zayed U	1	
Zeppelin U gemeinnuetzige GmbH	1	
Zhejiang U	3	
Zurich U of Applied Sciences	1	
unknown	3	
