name	freq	Change
Georgia Institute of Technology	1	
Georgia Regents U	1	
Georgia State U	6	
Georgia Tech	2	
Georgian Institute of Public Affairs	5	
German Sport U Cologne	2	
Ghent U	22	
Goldsmiths College U of London	2	
Goldsmiths U of London	5	
Gonzaga U	1	
Gordon Teachers College	1	
Governors State U	2	
Graceland U	2	
Griffith U	2	
Hallym U	3	
Hamad Medical Corporation	1	
Hampshire College	1	
Hankuk U of Foreign Studies	1	
Hanover U of Music Drama and Media	11	
Hans Bredow Institute	2	
Hans Bredow Institute for Media Research	4	
Hans-Bredow-Institut	1	
Hebrew U	7	
Hebrew U - Jerusalem	2	
Hebrew U - Mt. Scopus	1	
Hebrew U and Ono Academic Colledge	3	
Hebrew U of Jerusalem	24	
Higher School of Economics	1	
Highpoint U	1	
Hocking College	1	
Hofstra U	1	
Hohenheim U	1	
Hollins U	2	
Hong Kong Baptist U	22	
Hong Kong Polytechnic U	3	
Hongik U	4	
Hope College	5	
Howard U	8	
Huatian Technology Corporation	1	
Humboldt U Berlin	1	
Hunan U	1	
Hunter College	1	
IE U	1	
Illinois Institute of Technology	3	
Illinois State	1	
Illinois State U	8	
iMinds-MICT-Ghent U	1	
iMinds-MICT-UGent	4	
Imperial College London	1	
Independent Researcher	1	
Indiana U	64	
Indiana U – Purdue U Fort Wayne	5	
Indiana U Bloomington	1	
Indiana U East	1	
Indiana U of Pennsylvania	3	
Indiana U Pennsylvania	1	
Inha U	1	
Initiative for Children and Families ASSMCA	1	
Institute d'Etudes Politiques de Toulouse	1	
Institute of Policy Studies Singapore	1	
Instituto de Altos Estudios Nacionales	1	
Instituto de Estudios Peruanos	3	
International Assocation for Media and Communication Research	2	
Internet Interdisciplinary Institute Open U of Catalonia	1	
Internet Interdisciplinary Institute UOC	1	
Iona College	2	
Iowa State U	8	
ITESO U	1	
Ithaca College	1	
IULM U	1	
IWM Tuebingen	2	U of Teubingen
Izmir U of Economics	1	
Jacksonville U	1	
Jacobs U - Bremen	2	Jacobs U
Jacobs U Bremen	1	Jacobs U
James Madison U	6	
Jefferson Hoye LLC	1	
JiangHuai Magazine	1	
Jinan U	1	
JMG U of Gothenburg / The IT U of Copenhagen	1	
Joan Ganz Cooney Center at Sesame Workshop	2	
Johannes Gutenberg U	8	
Johannes Gutenberg U Mainz	1	
Johannes Kepler U	1	
Johns Hopkins SAIS	1	
Johns Hopkins U	6	
Jyvaskyla	1	
KAIST	9	
Kansas State U	2	
Karlstad U	11	
Keio U	1	
Kennesaw State U	3	
Kent State U	8	
King Juan Carlos U	1	
King's College London	2	
Klein Buendel Inc.	10	
Knowledge Media Research Center	4	
Koc U	1	
Kookmin U	1	
Korea U	3	
KU Leuven	9	
Kyung Hee U	1	
Lake Forest College	1	
Lake Superior State U	1	
Lakehead U	1	
Leeds Trinity U	1	
Lehigh U	2	
Leibniz-Institut fuer Wissensmedien	3	
Leiden U	10	
Lewis  and  Clark College	1	
Linfield College	1	
LMU Munich	68	
Lomonosov Moscow State U	1	
London School of Economics	1	
London School of Economics and Political Science	6	
Loughborough U	1	
Louisiana State U	38	
Loyola Marymount U	1	
Loyola U	1	
Loyola U Chicago	1	
Loyola U Maryland	5	
Lucile Packard Children's Hospital	8	
Lund U	3	
Lusofona U	4	
Maastricht U	4	
Macalester College	4	
Macau U of Science  and  Technology	1	
Marist College	5	
Marquette U	2	
Marymount Manhattan College	1	
Massachusetts General Hospital	1	
Massey U	14	
McGill U	1	
McMaster U	2	
Media and Communication	1	
Media Ecology Association	1	
Media Psychology U of Wuerzburg	1	
Media Science	1	
Medical College of Wisconsin	1	
Memorial Sloan-Kettering Cancer Center	9	
Metropolitan State U of Denver	1	
Miami U	1	Miami U
Miami U - Ohio	3	Miami U
MICA	1	
Michigan State	1	Michigan State U
Michigan State U	128	Michigan State U
Microsoft Research	1	
Mid Sweden U	6	
Middle Tennessee State U	2	
Middlesex U	2	
Midlands Technical College	1	
Midwestern U	1	
Mikonics	1	
Mindful Change	1	
Minnesota State U Mankato	1	
Missouri	2	U of Missouri
Missouri School of Journalism	1	U of Missouri
Missouri School of Journalism U of Missouri	1	U of Missouri
Missouri State U	2	
MIT Center for Collective Intelligence	3	MIT
MMLab - Ghent U - iMinds	3	
Moffitt Cancer Center	1	
Montclair State U	2	
Morehouse U	3	
Mount Saint Vincent U	4	
Muhlenberg College	1	
Multimedia U	1	
Murdoch U	2	
Murray State U	1	
Nanjing U	1	
Nanyang Technological U	85	Nanyang Technological U
Nanyang Techological U	4	Nanyang Technological U
National Center for Ecological Analysis and Synthesis U of California	1	
National Chengchi U	3	
National Chiao Tung U	6	
National Institute for Environmental Studies	4	
National Institute of Advanced Industrial Science and Technology	1	
National Institute of Education	1	
National Institute of Informatics Japan	2	
National Research U – Higher School of Economics	2	
National Research U High School of Economics	1	
National Research U Higher School of Economics	1	
National School of Political and Administrative Studies	2	
National Taiwan U	1	
National U	2	
National U College Online	1	
National U of Singapore	19	National U of Singapore
National U of Singapore (NUS)	1	National U of Singapore
Netanya Academic College	2	
Netherlands Youth Institute/Erasmus U Rotterdam	1	Erasmus U Rotterdam
New Jersey Institute of Technology	2	
New Mexico State U	1	
New School of Public Engagement	1	
New York Institute of Technology	1	
New York U	15	
NHTV Breda U of Applied Sciences	2	
Nielsen Korea	1	
NLA Gimlekollen School of Journalism and Communication	1	
NO/AIDS Task Force	2	
North Carolina A and T State U	1	North Carolina State U
North Carolina Agricultural and Technical State U	1	North Carolina State U
North Carolina State U	20	North Carolina State U
North Central College	2	
North Dakota State U	13	
Northeastern U	21	
Northern Illinois U	3	
Northern Kentucky U	7	
Northwestern	3	Northwestern U
Northwestern U	59	Northwestern U
Northwestern U in Qatar	6	Northwestern U in Qatar
Northwood U	1	
NOVA / WGBH Boston	2	
NTNU Trondheim	2	
Oakland U	1	
OCAD U	1	
Ohio	3	Ohio U
Ohio State U	90	
Ohio U	19	Ohio U
Oklahoma City U	1	
Oklahoma State U	1	Oklahoma State U
Oklahoma State U-Tulsa	1	Oklahoma State U
Old Dominion U	2	
Open Technology Institute	1	
Open U of Israel	2	
Orebro U	4	
Osaka U	2	
Oxford Internet Institute	1	
Paris Sorbonne U - CELSA	1	
Passau U	2	
PCI Media Impact	1	
Peking U	3	
Penn State	6	Penn State U
Penn State U	14	Penn State U
Penn State U-U Park	1	Penn State U
Penn State York	2	Penn State U
Pennsylvania State U	51	Pennsylvania State U
Pennsylvania State U - Abington	1	Pennsylvania State U
Pennsylvania State U  and  Sungkyunkwan Univ	5	Pennsylvania State U
Pepperdine U	1	
Peru Ministry for Development and Social Inclusion	1	
Pew Internet and American Life Project	2	
Philipp U of Marburg	2	
Political Communication Lab (LACOP)	1	
Pomona College	1	
Pontificia U Católica de Chile	5	
Pontificia Universidad Catolica de Chile	5	Pontificia Universidad Catolica de Chile
Pontificia Universidad Católica de Chile	1	Pontificia Universidad Catolica de Chile
Pontificia Universidad Catolica de Chile Universidad Finis Terrae Universidad del Desarrollo	1	Pontificia Universidad Catolica de Chile
Pontificia Universidad Javeriana	1	
Porter Novelli	1	
Portland State U	9	
Prairie View A&M U	1	
Project for Excellence in Journalism	1	
Purdue U	59	
PVI	1	
Queen Margaret U	1	
Queens College - CUNY	1	
Queensland Health	1	
Queensland U of Technology	20	Queensland U of Techology
Quinnipiac U	6	
Radboud U	9	Radboud U Nijmegen
Radboud U Nijmegen	22	Radboud U Nijmegen
Radboud Universiteit Nijmegen	2	Radboud U Nijmegen
Ramapo College of New Jersey	1	
Rauawaawa Kaumatua Charitable Trust	1	
Renmin U of China	2	
Rensselaer Polytechnic Institute	1	
Research Center in Communication and Culture Catholic U of Portugal & Research Center in Applied Communication Culture and New Technologies Lusófona U	1	Catholic U of Portugal
Rider U	2	
Riga Stradins U	2	
Rikkyo U	1	
Rissho U	1	
RMIT U	1	RMIT U
RMIT U - Vietnam	1	RMIT U
Roanoke College	1	
Robert Morris U	2	
Robert Wood Johnson U Hospital	2	
Rochester Institute of Technology	4	
Rollins College	1	
Room 517	1	
Roskilde U	4	
Royal Military Academy	1	
Royal Roads U	1	
Ruhr U Bochum	4	
Rutgers	3	Rutgers U
Rutgers The State U of New Jersey	1	Rutgers U
Rutgers U	53	Rutgers U
Rutgers U - School of Communication and Information	1	Rutgers U
Rutgers WPF	1	Rutgers U
Ryerson U	2	
Saint Francis Xavier U	1	
Saint Louis U	2	
Saint Vincent College	1	
Salem State U	2	
Sam Houston State U	2	
San Diego State U	12	
San Francisco State U	1	
San Jose State U	2	
Santa Clara U	5	
School of Communication Simon Fraser U	1	
School of Information	5	
School of Sustainability IDC	3	
SciencesCom - Audencia Group	2	
Sejong U	1	
Seoul Institute	1	
Seoul National U	7	
Shanghai International Studies U	1	
Shanghai Jiao Tong U	2	
Sheffield Hallam U	2	
Simon Fraser U	4	
Singapore Management U	1	
Sodertorn U	10	
Sogang U	2	
Southern Illinois U	8	Southern Illinois U
