univ	freq
UMass Amherst School of Public Health and Health Sciences	1
U of California - Santa Barbara	51
U of Passau	2
Covenant U	2
Augsburg U	17
Seoul Institute	1
Project for Excellence in Journalism	1
San Jose State U	2
Central States Communication Association	1
Linfield College	1
Asbury U	2
The Cancer Council Victoria	2
Colorado State U	12
EWHA WOMANS UNIVERSITY	1
Department of Media  and  Communication	1
Ryerson U	2
MICA	1
Tel Aviv U	6
U Mannheim	5
unknown	1
Tokyo Denki U	2
PCI Media Impact	1
Educons U	1
Hans-Bredow-Institut	1
U of Oregon	24
Howard U	8
Copenhagen Business School; LSE	2
Bridgewater State U	1
U of Maryland - College Park	4
USC Annenberg School of Communication and Journalism	1
Santa Clara U	5
Aalborg U Copenhagen	3
Peking U	3
Cardiff U	8
Florida Southern College	1
U of Miami	24
Chapman U/U of California - Irvine	1
U of New Hampshire	1
Robert Wood Johnson U Hospital	2
iMinds-MICT-UGent	4
VU U -  Amsterdam	5
U of Nottingham	2
Stephen F. Austin U	1
Graceland U	2
U of Leuven - School for Mass Communication Research	19
Catholic U of Milan	1
North Carolina Agricultural and Technical State U	1
Missouri State U	2
Central Connecticut State U	1
Gordon Teachers College	1
Radboud U Nijmegen	22
U of Toronto Mississauga	1
Northwestern U in Qatar	6
U of Texas at San Antonio	1
RMIT U - Vietnam	1
U of Luxembourg	3
Riga Stradins U	2
U of South Carolina Upstate	2
Universidad Diego Portales	2
U of Naples	1
City U - Hong Kong	2
Ben Gurion U of the Negev	8
Rutgers The State U of New Jersey	1
U of Minnesota - Twin Cities	4
U Autonoma de Madrid	1
Temple U	26
The Ohio State U	15
U of Utah	11
iMinds-MICT-Ghent U	1
U of Illinois at Urbana Champaign	2
JMG U of Gothenburg / The IT U of Copenhagen	1
Department of Media and Communication	1
Bournemouth U	4
WKWSCI Nanyang Techonological U	2
Louisiana State U	38
Lewis  and  Clark College	1
Goldsmiths U of London	5
Northwood U	1
Knowledge Media Research Center	4
Erasmus U Rotterdam	15
Univ. of Texas at Austin	2
Southern Illinois U - Carbondale	2
U of Utrecht	2
Creighton U	2
U degli Studi di Bergamo	1
Shanghai Jiao Tong U	2
Carleton U	2
New School of Public Engagement	1
Roanoke College	1
Massachusetts General Hospital	1
SciencesCom - Audencia Group	2
Fayetteville State U	1
U of Texas	11
Stockholm U	4
College of Charleston	3
Florida International U	14
U Ramon Llull	1
Murray State U	1
